city_name,locality,locality_id,entity_id,project_name,longitude,lattitude,avg_price,target,active_days,impressions,clicks,sessions,paid_leads,expected_leads,project_conversion,avg_conversion,avg_sessions,avg_bhk,gap,project_demand_status
Gurgaon,Sector 68,9d8a921dc7ddd1d035f3,38687,M3M Marina,77.04581451,28.38857841,16074300,22.2,13.5,8188,309,403,33,34,0.08,0.08,332.68,2.5,11,surplus
Gurgaon,Sector 88A,4a0bd6c5d327b49f928e,291368,Raheja India Rashtra,76.95570374,28.43470001,41998500,7.67,13,647,76,100,19,10,0.19,0.10,150.79,1,11,surplus
Gurgaon,Sector 57,06be5e4b697d1d179f75,343901,Arun GGR Floor 21,77.08650208,28.42679977,27500000,12.18,12,43725,494,231,23,19,0.10,0.08,193.81,3.5,11,surplus
Gurgaon,Sector 70A,ab64cd141b3d9e250669,35429,BPTP Astaire Garden Plots,77.02277374,28.38395691,96619014,5.41,10.5,22296,123,82,16,7,0.20,0.08,199.51,1,11,surplus
Gurgaon,Sector 59,4e95917c004316e78882,328720,4S The Aurrum,77.11088562,28.40609932,63346500,12.32,12.5,2478,58,103,23,8,0.22,0.08,148.29,3.5,11,surplus
Gurgaon,Sector 103,b1f494f6d3b3fd26a1cc,324842,Whiteland Urban Resort,76.98309326,28.49560165,80551250,25.96,14,753,87,251,36,22,0.14,0.09,244.07,3.5,10,surplus
Gurgaon,Sector 50,be66cf97c6340f920e4b,319499,GC Nirvana County Luxury Floors,77.0664978,28.41239929,52500000,4.41,3.5,142,3,72,14,6,0.19,0.09,111.79,3.5,10,surplus
Gurgaon,Sector 46,d12f90744c6c443e2a1e,345039,Arun GGR Floor 30,77.05860138,28.43740082,32500000,12.18,12,25028,419,217,22,19,0.10,0.09,146.32,3.5,10,surplus
Noida,Sector 107,5a4dd4bd47e70548d927,355621,Emerald Crest 1,77.37599945,28.5454998,10100400,10.39,11.5,302407,3592,400,20,35,0.05,0.09,283.91,3.5,10,surplus
Gurgaon,DLF Phase 4,763ba73eedecacf21b7a,319498,GC DLF Independent Premium Floors,77.08450317,28.4647007,47500000,1.55,3,204,2,120,12,11,0.10,0.09,145.07,3.5,10,surplus
Gurgaon,Sector 57,06be5e4b697d1d179f75,328666,Bargainer Ultra Premium Luxurious Floors,77.07520294,28.42320061,42787200,1.55,3,30011,62,96,12,8,0.13,0.08,169.57,3.5,10,surplus
Gurgaon,Sector 76,5de3fcda2f8d078fd091,228595,Suncity Avenue 76,76.99555969,28.39367104,8611185,44.75,14.5,152271,1747,932,55,58,0.06,0.06,496.97,2,10,surplus
Gurgaon,Sector 81,a8888c394dbcc6108569,34993,Signature Global Synera,76.94988251,28.38571739,5071530,4.9,4,152300,1856,713,14,43,0.02,0.06,521.97,1.5,9,surplus
Gurgaon,Sector 80,496dee59973e0548ac9f,332463,Eldeco Fairway Reserve,76.95802307,28.35959053,46852789,36.04,13.5,3948993,2482,495,45,37,0.09,0.07,321.82,3.5,9,surplus
Gurgaon,Sector 46,d12f90744c6c443e2a1e,350753,Vohra Luxury Builder Floors 6,77.05860138,28.43740082,32499350,7.84,13.5,255242,365,138,17,12,0.12,0.09,146.32,3.5,9,surplus
Noida,Sector 73,6b6b6c204323f2ed6253,343921,JMD Siddhi Vinayak,77.3898468,28.58132935,7150000,11.58,11.5,178776,2344,267,21,28,0.08,0.11,504.73,3.5,9,surplus
Gurgaon,Sector 65,ad46b362716dededbce0,38684,M3M Latitude,77.07493591,28.40919876,47445582,3.48,6,1334,30,62,12,5,0.19,0.07,166.2,3.5,9,surplus
Gurgaon,Sector 23,ed367d1b56165f3af439,299982,Ahuja Builders 4,77.04477692,28.50979424,39992100,6.71,13,3597,36,98,16,9,0.16,0.09,132.57,3.5,9,surplus
Gurgaon,Sector 84,8b951771d86f3f5983c0,2077,Spaze Privy AT4,76.96228027,28.40784454,27439620,5.16,8,3167,100,234,14,18,0.06,0.08,196.42,3,9,surplus
Gurgaon,Sector 102,96257073c54503aa6b37,26044,Adani M2K Oyster Grande,76.97374725,28.48109245,53021191,9.35,14.5,25279,463,247,17,27,0.07,0.11,225.95,3.5,8,surplus
Gurgaon,Sector 111,814d7aaee051baa2f2ef,5854,Tashee Capital Gateway,77.03271484,28.52504921,29798108,1.23,1,2611,12,45,9,4,0.20,0.09,193.15,3,8,surplus
Gurgaon,Sector 99,505aca1f9f7b35ee4c0f,5330,Cosmos Express 99,76.9620285,28.45534134,26875000,19.45,6,98830,817,466,27,39,0.06,0.08,193.53,2.5,8,surplus
Gurgaon,Sector 67,b367b4f7048c1e1e1a64,330425,Ansal Esencia Sector 67,77.0582962,28.38739967,18243842,3.88,5,24967,198,114,12,9,0.11,0.08,166.08,3,8,surplus
Gurgaon,Sector 63,3f92611a90726707361f,330474,Raj Anant,77.08670044,28.39710045,22500063,11.66,11.5,11835,327,228,20,21,0.09,0.09,176.79,3.5,8,surplus
Gurgaon,Sector 95,7d0421d664763242671c,305991,3B Estate 95,76.91625977,28.41842651,22415747,7.67,13,716,29,118,16,10,0.14,0.08,181.11,1,8,surplus
Gurgaon,Sector 70,ca542b78e17bf640697e,233039,Pyramid Altia,77.01629639,28.38999939,8603452,4.9,4,8915,181,482,13,24,0.03,0.05,484.47,2,8,surplus
Gurgaon,Sector 99A,92d624096adf9e82ea9b,290294,Betterchoice Vanya City,76.95142365,28.45888901,21819760,7.67,13,2439,90,132,16,15,0.12,0.11,178.81,1,8,surplus
Gurgaon,Sector 89,2475ee745ec374a2d50e,328691,Laburnum Victory Floors 89,76.94390106,28.4253006,20999400,25.16,10,9143,291,123,33,10,0.27,0.08,421.23,3,8,surplus
Gurgaon,Sector 37C,f2f7b8e42c3741278e62,13542,ILD Greens,76.984444,28.450782,22301550,7.41,11.5,5107,192,285,14,22,0.05,0.08,176.98,3,7,surplus
Noida,Sector 107,5a4dd4bd47e70548d927,295611,Mahagun Medalleo Low Rise,77.37558746,28.54745293,61682409,7.26,12.5,5044,178,91,14,7,0.15,0.07,229.14,3.5,7,surplus
Noida,Sector 137,5df4eb2660d0207c62b9,1667,Ajnara Daffodil,77.40893555,28.50741386,15762879,3.74,2.5,12880,112,134,11,10,0.08,0.08,345.97,2,7,surplus
Gurgaon,Sector 109,cd794346c2b0822f2605,30778,ATS Tourmaline,77.00324249,28.51531982,33499900,16.78,13.5,870,5,135,24,14,0.18,0.11,151.82,3.5,7,surplus
Noida,Sector 104,fc04fbb8ad3339541859,354634,JMD Heights 110,77.38383484,28.53821945,4600125,13.42,13,8752,294,251,20,26,0.08,0.11,533.43,2,7,surplus
Noida,Sector 168,a0c12084ffff526c1ea5,3838,The 3C Lotus Zing,77.41046143,28.49703979,7725600,5.63,5,11186,182,111,13,7,0.12,0.07,402.99,2,7,surplus
Gurgaon,Sector 90,90ac38ce1e3b6112bd4c,3631,DLF Regal Gardens,76.93519592,28.40741539,18424948,5.93,11.5,1014,27,157,13,11,0.08,0.07,207.48,3,7,surplus
Noida,Sector 150,338bfbd7096e7fb0f0c8,41368,Tata Eureka Park Phase 2,77.48750305,28.42769051,10655913,6.96,9,73520,1429,272,14,21,0.05,0.08,287.49,2.5,7,surplus
Gurgaon,Sector 99A,92d624096adf9e82ea9b,265354,Satya Merano Greens,76.95259857,28.45549965,17402400,7.67,13,9520,284,175,14,19,0.08,0.11,178.81,1,6,surplus
Noida,Sector 43,4916f1eaabc036aea74c,259465,Godrej Woods Phase II,77.35097504,28.55837631,28449760,11.51,10.5,19318,694,114,18,8,0.16,0.07,261.47,3,6,surplus
Gurgaon,Sector 95A,b982df087daed28dd3bc,337248,The Rising Palm Floors,76.92412567,28.42605209,10994480,18.69,13.5,29158,738,962,25,71,0.03,0.07,333.76,2,6,surplus
Gurgaon,Sector 99A,92d624096adf9e82ea9b,293828,BST Green Bhoomi,76.95142365,28.45888901,23289750,6.96,13.5,1010,116,81,13,9,0.16,0.11,178.81,1,6,surplus
Noida,Sector 150,338bfbd7096e7fb0f0c8,300458,Eldeco Live By The Greens Phase III,77.48751068,28.41819382,11922009,1.55,3,8842,99,59,8,5,0.14,0.08,287.49,3,6,surplus
Noida,Sector 77,664ac871af95c30d3110,319768,Express Zenith Tower A,77.393013,28.57009888,38597145,2.26,1,156,3,23,8,5,0.35,0.20,114.14,3.5,6,surplus
Gurgaon,Sector 47,25c1c719ad25fbff8284,350744,Vohra Luxury Builder Floors 9,77.04640198,28.42200089,30000000,7.84,13.5,13452,278,85,14,7,0.16,0.09,139.31,3,6,surplus
Gurgaon,Sector 92,e0930a6b895918ca0874,5404,Raheja Navodaya,76.90958405,28.40734863,20495700,1.03,1.5,7569,52,46,7,3,0.15,0.07,185.68,2.5,6,surplus
Noida,Sector 150,338bfbd7096e7fb0f0c8,203047,ATS Pristine Golf Villas Phase I,77.48485565,28.44077873,127315938,2.57,5,77814,956,286,9,18,0.03,0.06,232.72,4,6,surplus
Gurgaon,Sector 82,687fcb5c47fc02d36f16,1485,Mapsko Casa Bella,76.9646759,28.39442825,33264000,6.77,10.5,20700,312,310,13,26,0.04,0.08,179.07,3,6,surplus
Gurgaon,Sector 89A,971e124baf8647f7c55c,275616,Vatika Seven Elements,76.94164276,28.43147469,27975525,22.15,13.5,14510,513,334,28,30,0.08,0.09,192.31,3,6,surplus
Gurgaon,Sector 69,e378bca73f0205299fa1,8339,Tulip Violet,77.03314972,28.39251328,28260000,13.29,13.5,7664,328,232,19,20,0.08,0.09,180.56,3.5,6,surplus
Gurgaon,Manesar,2a52e859cd4a6bbe9188,334224,The Golden Residences,76.94284821,28.35251617,15835000,6.03,7.5,2180,84,111,12,9,0.11,0.08,414.65,3.5,6,surplus
Gurgaon,Sector 83,7b42529d509396b8d178,319750,Vatika Emilia Floors,76.96469879,28.39859962,15650217,2.11,1.5,1128,19,108,8,7,0.07,0.06,208.87,2.5,6,surplus
Gurgaon,Sector 59,4e95917c004316e78882,290771,Paras Floret,77.10811615,28.4094696,30074625,1.45,2.5,743,44,32,7,2,0.22,0.08,148.29,1,6,surplus
Gurgaon,Sector 69,e378bca73f0205299fa1,228520,Tulip Yellow,77.03533173,28.39363861,25448120,22.64,11,4140,99,229,29,20,0.13,0.09,180.56,3.5,6,surplus
Gurgaon,Sector 37D,f745c4c0226869fa87b8,107993,Ramprastha Rise,76.97241211,28.44970131,14237940,7.41,11.5,26165,497,148,13,13,0.09,0.09,331.04,3,6,surplus
Noida,Sector 128,087832430cf7f2e7361d,349735,Reality Keshav Farms,77.35610199,28.52260017,14730000,5.03,6.5,121363,2155,399,11,22,0.03,0.06,199.64,4,6,surplus
Gurgaon,Sector 46,d12f90744c6c443e2a1e,300772,Bargainer Ultra Modern Floor,77.05860138,28.43740082,33500000,1.55,3,4702,33,54,7,5,0.13,0.09,146.32,3.5,5,surplus
Gurgaon,Sushant Lok Phase 1,c56a7212bfebf162c2d0,296512,Today Developer 5,77.07695007,28.46353149,47500000,1.55,3,9742,78,69,7,5,0.10,0.08,126.82,3.5,5,surplus
Noida,Sector 168,a0c12084ffff526c1ea5,41474,Nimbus The Arista Luxe,77.40641785,28.49357033,47200200,11.36,11,2069,54,1664,16,86,0.01,0.05,348.22,2.6666666666666665,5,surplus
Gurgaon,DLF Phase 1,121f40755ac071d4ddb9,350739,Vohra Luxury Builder Floors 4,77.10070038,28.46500015,40000300,7.84,13.5,82288,792,223,13,18,0.06,0.08,143.87,3.5,5,surplus
Noida,Sector 104,fc04fbb8ad3339541859,354514,JMD Residency,77.38383484,28.53821945,8100000,10.48,12.5,22862,530,145,15,13,0.10,0.09,295.28,3.5,5,surplus
Gurgaon,Mayfield Garden,6d9f817223e08769f141,315389,Bargainer Ultra Premium Floors,77.06300354,28.42539978,36500000,0.48,0.5,345,15,40,5,3,0.13,0.07,160.32,3.5,5,surplus
Gurgaon,DLF Phase 2,708ba9e1db2721be4c5f,350745,Vohra Luxury Builder Floors 5,77.08809662,28.48769951,40000300,7.84,13.5,104763,1287,168,13,12,0.08,0.07,122.07,3.5,5,surplus
Gurgaon,Sector 93,c5b52306d6de50f89eda,352246,SRV Floors 93,76.93260193,28.41530037,11499840,3.88,5,4341,63,127,9,11,0.07,0.09,315.61,2,5,surplus
Gurgaon,Sector 89A,971e124baf8647f7c55c,305427,Bestech City 2,76.94159698,28.43149948,28252400,2.13,2,333,19,10,7,1,0.70,0.09,192.31,1,5,surplus
Gurgaon,Sector 49,ebd7f89deb5d95bd3ac2,326668,Big Block South City 2,77.05280304,28.41760063,32963525,3,4.5,556,3,26,8,2,0.31,0.09,133.13,3,5,surplus
Gurgaon,Sector 78,80de3be8e9ffe90c0cb3,296665,Mapsko Aspr Hills,76.97060394,28.37557983,30557311,7.67,13,6364,278,134,13,12,0.10,0.09,146.49,1,5,surplus
Gurgaon,Sector 95A,b982df087daed28dd3bc,254565,JMS Prime Land,76.92280579,28.42735481,19391526,15.11,13,3261,171,272,20,20,0.07,0.07,275.06,1,5,surplus
Gurgaon,Palam Vihar,ddf026e221e7d54728db,5065,Bestech Park View Residency,77.02256775,28.49901962,16262715,11.15,14.5,49820,397,184,16,21,0.09,0.11,225.68,2,5,surplus
Gurgaon,Sector 41,e3c5b7e9b619e2b081c8,350749,Vohra Luxury Builder Floors 7,77.0664978,28.45829964,34998350,7.84,13.5,29851,198,76,13,7,0.17,0.09,123.95,3.5,5,surplus
Gurgaon,Sector 49,ebd7f89deb5d95bd3ac2,343895,GGR Floor 26,77.05280304,28.41760063,39000000,3.34,4.5,2670,50,322,8,28,0.02,0.09,133.13,3.5,5,surplus
Gurgaon,Sector 112,9837d9681c9709dcdcd6,130833,Experion Windchants,77.0141449,28.51755905,80309190,11.87,11,930,46,123,17,9,0.14,0.07,155.57,3,5,surplus
Noida,Sector 72,87ebedcc3bfc530600cd,342002,Evermark Provica Dream Valley,77.38056946,28.5836792,5150000,0.62,0.5,69,2,11,6,1,0.55,0.10,490.45,2,5,surplus
Noida,Sector 76,15b8124237251ab13164,350729,Om Centrum Heights I,77.38272858,28.56843185,7350925,23.68,13,103896,1206,333,29,30,0.09,0.09,288.48,2.5,5,surplus
Gurgaon,DLF Phase 1,121f40755ac071d4ddb9,348277,Sunder Luxury Floors DLF Phase 1,77.10070038,28.46500015,30999600,10.19,14,36079,801,237,14,19,0.06,0.08,143.87,3,4,surplus
Gurgaon,Sector 77,2f3e266bc6a6937a2e01,323303,Adore The Select Premia,76.98387909,28.38918304,28100800,23.13,12,982,4,208,27,16,0.13,0.08,218.96,3,4,surplus
Noida,Sector 135,bba8ef2559bf6f22db8f,114125,Dkrrish Green Beauty Farms,77.39954376,28.48972702,27851040,5.03,6.5,23931,267,1601,9,53,0.01,0.03,908.64,1,4,surplus
Gurgaon,Sector 36,1864ac472c1a7739556b,279083,Signature Global Park 4 And 5 Phase II,77.06326294,28.29654312,9117680,7.73,12,6618,179,170,12,13,0.07,0.07,515.51,2.5,4,surplus
Gurgaon,Sector 2,c9e24c527de7460dcaa9,52622,Eldeco Acclaim,77.06497192,28.25958252,12656793,20.22,14,1466826,4388,467,24,37,0.05,0.08,261.95,2.5,4,surplus
Gurgaon,Sector 79,05f80b391e199362a031,294074,Signature Global City 79B 1,76.97869873,28.36240005,23277925,9.41,10.5,1089,63,509,13,38,0.03,0.07,286.31,2.5,4,surplus
Noida,Sector 150,338bfbd7096e7fb0f0c8,86493,Eldeco Live By The Greens Phase 1,77.48801422,28.41884613,10930836,28.79,14,135990,2091,340,33,26,0.10,0.08,287.49,2.5,4,surplus
Gurgaon,Sector 84,8b951771d86f3f5983c0,2908,Gurgaon One 84,76.96456909,28.40646362,25659884,14.15,14.5,62432,643,225,18,17,0.08,0.08,196.42,3,4,surplus
Noida,Sector 119,8e4891b7dce9c53d2f80,4922,Eldeco Aamantran,77.40327454,28.58624458,19886750,8.12,10.5,4445,82,110,12,9,0.11,0.09,163.14,2.5,4,surplus
Gurgaon,Sector 95A,b982df087daed28dd3bc,338542,Shree Silver County,76.92250061,28.42720032,22510933,6.96,13.5,4479,410,140,11,10,0.08,0.07,275.06,1,4,surplus
Gurgaon,Sector 37D,f745c4c0226869fa87b8,320905,MVN Aero One,76.97559357,28.44639015,260701250,2.33,4,292,11,85,5,7,0.06,0.09,248.11,4,3,surplus
Gurgaon,Sector 47,25c1c719ad25fbff8284,315403,Bargainer Ultra Premium Luxurious Floors,77.04640198,28.42200089,47500000,1.55,3,79,0,19,5,2,0.26,0.08,115.07,3.5,3,surplus
Gurgaon,Sector 33,9c8c32b17074956fd396,41067,Central Park Aqua Front Towers,77.07287598,28.28544044,23711900,13.68,14.5,25612,195,103,17,9,0.17,0.08,216.11,3.5,3,surplus
Noida,Sector 144,18db7eafec64fa75f603,34741,Gulshan Botnia,77.44110107,28.49752617,11538475,8.26,8.5,9562,225,169,11,16,0.07,0.09,240.66,2.5,3,surplus
Noida,Sector 168,a0c12084ffff526c1ea5,328569,Sunworld Arista Phase 1 Tower 1 2 3 4 6 10,77.40814972,28.49400139,18645515,2.58,2.5,2070,66,64,6,3,0.09,0.05,348.22,2.6666666666666665,3,surplus
Gurgaon,Sector 95,7d0421d664763242671c,304644,Landmark Avana 1st Phase,76.91009521,28.41716576,12999130,4.64,9,8973,365,143,8,12,0.06,0.08,239.81,3,3,surplus
Gurgaon,Sector 35,660abf993a9bbb29da44,355311,BLF Nature Valley,77.06268311,28.28136635,15951168,29.7,12.5,32395,288,338,33,28,0.10,0.08,242.61,2.5,3,surplus
Gurgaon,Sector 57,06be5e4b697d1d179f75,345179,Paramount Luxury Floor 40,77.08650208,28.42679977,26750000,20.39,14,47580,368,222,23,18,0.10,0.08,193.81,3.5,3,surplus
Gurgaon,Sector 82,687fcb5c47fc02d36f16,1309,Mapsko Royale Ville,76.96266174,28.39583015,46843184,6.77,10.5,227,31,153,10,13,0.07,0.08,179.07,3.5,3,surplus
Gurgaon,Sector 78,80de3be8e9ffe90c0cb3,280599,Pyramid Palm County,76.96459961,28.37030029,24299922,8.35,13,20802,236,165,11,15,0.07,0.09,170.73,1,3,surplus
Gurgaon,Sector 74A,e480013bbce27a28c434,270286,DLF Alameda,77.01194763,28.40863037,85450860,5.41,10.5,3180,129,68,8,7,0.12,0.10,119.07,3.5,3,surplus
Gurgaon,Sector 106,d02acb3cc829f2db86a6,96504,Godrej Meridien,76.99597931,28.50177765,65000000,5.16,8,3828,177,147,8,12,0.05,0.08,183.71,3,3,surplus
Noida,Sector 45,b39e541df2c019d8068e,319581,Experion Elements Phase 1,77.34577179,28.55097961,54800000,2.07,4,1704,17,13,5,1,0.38,0.10,155.64,3.5,3,surplus
Noida,Sector 115,ec0f0b40478cf4170368,303942,Ivory County Phase 1,77.40184021,28.56656647,70653402,4.92,15,1698,92,82,8,5,0.10,0.06,146.51,3.5,3,surplus
Gurgaon,Sector 89,2475ee745ec374a2d50e,262380,Ace Palm Floors Apartment,76.94056702,28.41899681,16698880,2.26,2.5,4022,58,60,5,5,0.08,0.08,479.93,2.5,3,surplus
Noida,Sector 168,a0c12084ffff526c1ea5,1322,Urbtech Xaviers,77.40965271,28.4935627,25599364,5.63,2.5,17754,373,136,9,7,0.07,0.05,348.22,2.5,3,surplus
Gurgaon,Sector 54,fb635f012d5a99e0d7bd,41133,DLF Park Place,77.10725403,28.44306374,58685187,11.25,14,6081,131,181,14,12,0.08,0.07,123.45,3,3,surplus
Gurgaon,Sector 36,1864ac472c1a7739556b,273203,ROF Normanton Park,77.06179047,28.29209518,21961170,19.17,14.5,3558,93,187,22,15,0.12,0.08,320.85,1,3,surplus
Gurgaon,Sector 102,96257073c54503aa6b37,334641,Emaar Gurgaon Greens,76.97146606,28.47498131,27829088,7.41,11.5,71887,701,205,10,23,0.05,0.11,250.19,3.5,3,surplus
Noida,Sector 115,ec0f0b40478cf4170368,303933,Ivory County Phase 3,77.40641022,28.56711769,69540750,4.92,15,3543,175,95,8,6,0.08,0.06,146.51,3.5,3,surplus
Gurgaon,Sector 92,e0930a6b895918ca0874,332097,Rising Homes At DXP 92,76.91529846,28.40789986,19485929,6.64,7,4735,73,155,9,11,0.06,0.07,185.68,3.5,2,surplus
Gurgaon,Sector 76,5de3fcda2f8d078fd091,301425,Umang Monsoon Breeze,76.99515533,28.39203644,17665800,9.52,10.5,3063,69,108,12,7,0.11,0.07,302.31,3,2,surplus
Gurgaon,Sector 112,9837d9681c9709dcdcd6,33714,Tata Gurgaon Gateway,77.01844788,28.53328514,26348408,8.39,13,3708,158,176,10,13,0.06,0.07,179.81,3,2,surplus
Gurgaon,Sector 67,b367b4f7048c1e1e1a64,324106,Shree Vardhman Mantra,77.06327057,28.38736534,7500000,1.81,2,37476,167,97,4,7,0.04,0.07,360.74,2,2,surplus
Gurgaon,Sector 113,52523f2e41980d15b990,271578,M3M Capital,77.02586365,28.52475739,29222956,57.49,12.5,118060,1336,470,59,38,0.13,0.08,281.9,3,2,surplus
Gurgaon,Sector 95,7d0421d664763242671c,317367,JMS The Pearl,76.90593719,28.41347885,20189432,11.86,13,2546,63,162,14,13,0.09,0.08,181.11,1,2,surplus
Gurgaon,Sector 99A,92d624096adf9e82ea9b,283700,Skywhales Vienna Greens,76.95576477,28.45596504,23609718,12.37,13.5,2737,194,110,14,12,0.13,0.11,178.81,1,2,surplus
Gurgaon,Sector 36,1864ac472c1a7739556b,284623,Signature Global Park 4,77.06326294,28.29654312,8953627,1.81,2,126,1,14,4,1,0.29,0.07,515.51,2.5,2,surplus
Gurgaon,Sector 92,e0930a6b895918ca0874,3581,Raheja Sampada,76.92079163,28.41711807,12610466,0.84,1.5,1446,28,25,3,2,0.12,0.07,244.37,3.5,2,surplus
Gurgaon,Sector 86,fe5388b6cc76451a5b11,3634,DLF The Skycourt,76.93552399,28.39718819,23064100,2.9,4.5,228,6,82,5,7,0.06,0.09,190.9,3,2,surplus
Gurgaon,Sector 43,b835faa6126597e0f4cd,350743,Vohra Luxury Builder Floors 3,77.07679749,28.46339989,37500000,7.84,13.5,47175,249,96,10,8,0.10,0.08,125.07,3.5,2,surplus
Gurgaon,Mayfield Garden,6d9f817223e08769f141,350750,Vohra Luxury Builder Floors 10,77.06300354,28.42539978,30000000,7.84,13.5,495019,431,205,10,15,0.05,0.07,184.56,3,2,surplus
Noida,Sector 150,338bfbd7096e7fb0f0c8,2775,ATS Pristine,77.48553467,28.44118309,31296125,0.52,1,1436,21,41,3,3,0.07,0.06,232.72,3.5,2,surplus
Gurgaon,Sector 106,d02acb3cc829f2db86a6,355885,Agrante Vanmaya Premium Residences,76.99739838,28.50325584,22200150,6.77,10.5,3967,126,185,9,16,0.05,0.09,207.96,2.5,2,surplus
Gurgaon,Sector 83,7b42529d509396b8d178,38688,Vatika Lifestyle Homes,76.96884918,28.39642143,17862200,0.35,0.5,8180,61,61,2,4,0.03,0.06,150.17,2,2,surplus
Gurgaon,Sector 50,be66cf97c6340f920e4b,35800,Unitech The Close North,77.0688858,28.41445351,49384098,5.68,11,2403,69,121,8,10,0.07,0.09,111.79,3,2,surplus
Gurgaon,Sector 85,15c80ebb64fc90e96950,319501,Ganga Anantam,76.95213318,28.40685654,39809070,7.28,13,852,111,80,9,5,0.11,0.07,390.14,3.5,2,surplus
Gurgaon,Sector 71,2c74967db31462703673,331335,Trehan Luxury Floors,77.02404785,28.40876579,19411500,2.61,4.5,3018,53,32,5,3,0.16,0.08,202.96,3,2,surplus
Gurgaon,Sector 35,660abf993a9bbb29da44,296887,Faith Ireo Savannah,77.06597137,28.28643036,19831184,0.48,0.5,547,3,16,2,1,0.13,0.08,183.91,1,2,surplus
Gurgaon,Sector 89,2475ee745ec374a2d50e,318544,Godrej Zenith,76.95246887,28.41291237,42308063,10.97,13.5,8761,221,238,13,18,0.05,0.08,396.99,3,2,surplus
Gurgaon,Sector 82A,6b9e105e417d1fe84e86,3630,DLF The Primus,76.96482849,28.38742828,36371500,9.99,11.5,7024,70,131,12,9,0.09,0.07,217.07,3,2,surplus
Gurgaon,Sector 22,2ef6a153af78a2aceec1,344594,Ahuja Builders 6,77.06400299,28.50720024,30110535,6.71,13,66480,333,129,9,8,0.07,0.07,147.57,3.5,2,surplus
Gurgaon,Sector 33,9c8c32b17074956fd396,218356,Central Park Flower Valley,77.06652069,28.28386879,88501770,23.94,10.5,116172,869,264,26,22,0.10,0.08,191.87,1,2,surplus
Noida,Sector 73,6b6b6c204323f2ed6253,345263,JMD Vinayak Heights,77.3867569,28.5879612,4350000,19.74,14,16574,80,108,22,13,0.20,0.12,742.87,2,2,surplus
Gurgaon,Sector 78,80de3be8e9ffe90c0cb3,357074,Suncitys Monarch Residences,76.97042847,28.37277603,43750925,0.6,1,707,11,63,2,5,0.03,0.09,146.49,3.5,1,surplus
Noida,Sector 72,87ebedcc3bfc530600cd,345088,Trinity Provica Dream Valley,77.37886047,28.58538818,5999500,10.42,10.5,16275,403,120,11,11,0.09,0.09,252.31,2,1,surplus
Gurgaon,Sector 57,06be5e4b697d1d179f75,300450,M3M Paragon 57,77.07876587,28.42097282,18100390,0.41,0.5,1322,17,11,1,1,0.09,0.08,193.81,1,1,surplus
Gurgaon,Sector 99,505aca1f9f7b35ee4c0f,56131,QVC G99,76.96617889,28.46993256,98920206,2.26,2.5,1230,60,61,3,5,0.05,0.08,169.29,1,1,surplus
Gurgaon,Sector 59,4e95917c004316e78882,277358,Mahindra Luminare Phase 2,77.10666656,28.40301704,57642974,3.44,10.5,1680,41,104,4,8,0.04,0.08,148.29,3,1,surplus
Gurgaon,Sector 56,0e974c26dad6960b17dc,343897,Arun GGR Floor 23,77.09909821,28.42449951,27250000,12.18,12,35675,249,147,13,11,0.09,0.08,164.15,3.5,1,surplus
Gurgaon,Sector 92,e0930a6b895918ca0874,57425,DLF Garden City Plots,76.91020203,28.40478706,58604700,3.79,4.5,1196,64,177,5,13,0.03,0.07,161.44,1,1,surplus
Gurgaon,Sector 102,96257073c54503aa6b37,43075,BPTP Amstoria Country Floor,76.97725677,28.47394943,47958945,17.8,14,10524,337,186,19,20,0.10,0.11,225.95,3.5,1,surplus
Noida,Sector 150,338bfbd7096e7fb0f0c8,6588,ACE Golfshire,77.48238373,28.43841743,14694183,0.96,1.5,996,38,14,2,1,0.14,0.08,287.49,2.5,1,surplus
Noida,Sector 137,5df4eb2660d0207c62b9,29436,Logix Blossom County,77.41213226,28.50952148,15308000,14.47,9.5,39159,679,212,15,16,0.07,0.08,345.97,3,1,surplus
Gurgaon,Palam Vihar,ddf026e221e7d54728db,299968,Ahuja Builders 1,77.038414,28.51324272,39923532,6.71,13,2868,32,67,8,7,0.12,0.11,142.74,3.5,1,surplus
Noida,Sector 150,338bfbd7096e7fb0f0c8,33183,ATS Le Grandiose,77.48784637,28.42586708,20789050,5.8,9,7188,136,86,7,5,0.08,0.06,232.72,3.5,1,surplus
Gurgaon,Sector 86,fe5388b6cc76451a5b11,130165,Pyramid Elite,76.93373871,28.39934921,8700580,1.46,1,275,7,25,2,2,0.08,0.08,385.56,2,1,surplus
Gurgaon,Sector 77,2f3e266bc6a6937a2e01,33423,Emaar Palm Hills,76.97918701,28.38840294,16711850,9.92,14.5,139896,1032,251,11,19,0.04,0.08,277.65,3,1,surplus
Gurgaon,Dhunela,f2795ee6cc3d5c564404,283861,Anmol Phase III And Plaza Ph II,77.06716919,28.28768539,13615230,15.01,9.5,840,5,374,16,26,0.04,0.07,378.51,2.5,1,surplus
Noida,Sector 143,0ad262ac30f7b3b67b65,255860,SKA Orion,77.4217453,28.50087357,17988977,33.96,14,25127,569,367,35,34,0.10,0.09,252.3,3,1,surplus
Gurgaon,Sector 41,e3c5b7e9b619e2b081c8,296875,Bargainer Homes Luxury Floor,77.0664978,28.45829964,43500000,1.55,3,98,0,26,3,2,0.12,0.09,123.95,3.5,1,surplus
